cem_key,lawn_key,ptype_norm,retail_price,resale_price,resale_pct,year,sold_date
DESERT VIEW MP,"CATHEDRAL OF ROSES MAUSOLEUM, PHASE 3",SINGLE_MAUSOLEUM,4195.0,3300.0,0.7866507747318237,2019.0,2019-02-01
OAKDALE MP,MEMORY GARDEN OF,DD_LAWN_CRYPT,10995.0,6900.0,0.6275579809004093,2020.0,2020-07-10
ROSE HILLS G-01,SPRING TERRACE,SINGLE_GRAVE,8775.0,4100.0,0.4672364672364672,2020.0,2020-09-01
ROSE HILLS G-01,"SKYROSE MAUSOLEUM, THE GREAT HALL",NICHE_OTHER,5100.0,3800.0,0.7450980392156863,2020.0,2020-08-10
ROSE HILLS G-11,MASONIC GARDENS,SINGLE_GRAVE,7775.0,4100.0,0.5273311897106109,2020.0,2020-10-02
BELLEVUE MP (AKA: ONTARIO  ASSOC.),"K CORRIDOR, BELLEVUE MAUSOLEUM ***",TC_MAUSOLEUM,7130.0,6500.0,0.9116409537166901,2007.0,2007-11-08
ROSE HILLS G-01,COMMEMORATION,SINGLE_GRAVE,13775.0,5000.0,0.3629764065335753,,
ROSE HILLS G-01,AFFECTION GARDEN OF,SINGLE_GRAVE,8775.0,4100.0,0.4672364672364672,2020.0,2020-08-31
ROSE HILLS G-01,JUNIPER,SINGLE_GRAVE,8775.0,4500.0,0.5128205128205128,2020.0,2020-09-08
FOREST LAWN MP,CHERISHED MEMORY,SINGLE_GRAVE,4370.0,3400.0,0.7780320366132724,2019.0,2019-04-20
VALLEY OAKS MP,GETHSEMANE GARDEN OF,SINGLE_GRAVE,7995.0,5500.0,0.6879299562226392,,
DESERT MP,VESPERLAND,SINGLE_GRAVE,2300.0,1600.0,0.6956521739130435,2014.0,2014-10-20
DESERT MP,VESPERLAND,SINGLE_GRAVE,2300.0,1600.0,0.6956521739130435,2015.0,2015-05-12
ROSE HILLS G-17,HILLCREST,SINGLE_GRAVE,7775.0,3300.0,0.42443729903536975,2020.0,2020-01-10
CRESTLAWN MP (PIERCE BROS.),SUNSET GARDENS,SINGLE_GRAVE,5795.0,3500.0,0.6039689387402933,2020.0,2020-08-22
ROSE HILLS G-01,GREENWOOD GARDENS,SINGLE_GRAVE,13775.0,4500.0,0.32667876588021777,2020.0,2020-10-01
ROSE HILLS G-01,AFFECTION GARDEN OF,SINGLE_GRAVE,8775.0,4200.0,0.47863247863247865,2020.0,2020-10-29
FOREST LAWN MP,ETERNAL PEACE,SINGLE_GRAVE,8625.0,5635.0,0.6533333333333333,,
OAKDALE MP,MAPLE LAWN,SINGLE_GRAVE,8695.0,4500.0,0.5175388154111559,,
OAKDALE MP,MEMORY GARDEN OF,DD_LAWN_CRYPT,14580.0,10200.0,0.6995884773662552,,
ROSE HILLS G-01,CARNATION,MULTI_GRAVE,13775.0,4500.0,0.32667876588021777,2019.0,2019-10-16
ROSE HILLS G-01,SEQUOIA LAWN,MULTI_GRAVE,8775.0,4100.0,0.4672364672364672,2020.0,2020-08-28
HARBOR LAWN MP,BLUE SPRUCE #3,MULTI_GRAVE,6795.0,3400.0,0.5003679175864606,2017.0,2017-06-05
CRESTLAWN MP (PIERCE BROS.),SUNSET GARDENS,SINGLE_GRAVE,5795.0,3500.0,0.6039689387402933,2020.0,2020-08-22
